VWAP,Open,Close,High,Low,Trades,SMA_5,SMA_7
230.4794,232.115,229.98,232.29,228.48,579200,232.7580000000002,234.7628571428573
221.6097,224.0,222.64,224.42,219.38,1220054,230.40600000000023,231.89714285714302
222.7049,219.79,223.83,224.12,219.79,682906,228.51600000000025,230.037142857143
224.1269,224.74,223.66,227.03,222.3,619710,225.6740000000002,228.5028571428573
223.1563,224.78,222.78,225.63,221.41,579370,224.5780000000002,227.0028571428573
228.7892,224.02,229.86,232.15,223.98,1008073,224.55400000000017,225.8585714285716
237.4532,230.85,238.26,240.19,230.81,788705,227.67800000000017,227.287142857143
237.4111,234.12,239.36,239.855,234.01,515118,230.78400000000016,228.62714285714304
239.0152,238.665,237.59,240.79,237.21,636297,233.57000000000016,230.7628571428573
238.8668,247.19,236.0,247.19,233.44,936601,236.21400000000017,232.50142857142876
228.3175,229.99,228.01,231.83,225.7,851432,235.84400000000016,233.12285714285733
231.0842,227.25,232.8,233.13,226.65,497235,234.75200000000012,234.5542857142859
230.727,228.53,232.47,232.67,228.27,445560,233.3740000000001,234.92714285714305
232.362,231.285,233.22,233.8,230.425,375308,232.50000000000009,234.20714285714305
229.2058,232.6,227.63,234.0,227.26,488105,230.8260000000001,232.5314285714288
228.5257,229.57,227.65,230.585,227.2,398185,230.75400000000013,231.11142857142883
232.4349,228.2,232.62,235.23,228.13,552052,230.71800000000013,230.6285714285717
234.9536,231.2,236.87,236.96,230.68,486373,231.59800000000013,231.894285714286
240.2312,236.91,241.53,242.3399,235.57,531000,233.26000000000013,233.14142857142886
244.0513,241.25,244.6,245.55,240.99,481651,236.65400000000017,234.874285714286
244.0795,244.15,244.47,245.18,241.84,486627,240.01800000000011,236.48142857142884
244.6718,244.66,244.87,246.01,243.1604,383364,242.46800000000013,238.944285714286
245.6205,244.94,245.83,246.78,244.29,405675,244.26000000000013,241.54142857142884
246.4026,245.95,245.55,248.69,245.22,508280,245.06400000000016,243.38857142857168
247.2514,244.925,247.1,248.86,244.42,593059,245.56400000000016,244.85000000000022
247.5126,248.0,247.04,250.0,244.91,573942,246.07800000000012,245.6371428571431
241.7765,244.33,240.36,244.98,239.13,557126,245.1760000000001,245.0314285714288
239.6332,239.41,237.3,242.46,237.06,503371,243.4700000000001,244.00714285714307
239.3193,236.95,241.84,242.09,230.2,572364,242.72800000000012,243.57428571428594
